"Feature","Gain","Cover","Frequency"
"batter_platoon_effect",0.0516735629426478,0.0358180860682328,0.032367465936812
"pitcher_platoon_effect",0.0499735421727461,0.0308888338105039,0.0261795680371274
"log5_base",0.042914912214228,0.028484612434627,0.0321889688820134
"ff_matchup_runs",0.0291629785503402,0.0355204882449483,0.0317129767358839
"k_rate_diff",0.0278457037005384,0.0314123416697295,0.0283810317129767
"bb_rate_diff",0.0277847460209608,0.0232595077953923,0.02754804545725
"hard_hit_vs_k_diff",0.0255085822903855,0.031397380740197,0.0274290474207176
"sl_matchup_runs",0.0250261615592489,0.0234328052291441,0.0230261200690189
"ff_matchup_barrel",0.0249916264458656,0.0219608991119691,0.0255845778544654
"ch_matchup_runs",0.0248379646614234,0.0229382218336813,0.0296305110965669
"fc_matchup_runs",0.02478302649186,0.0306487108915068,0.0216576426488963
"ff_matchup_hard_hit",0.0240392174621593,0.0374256379465027,0.0244540965074076
"zone_contact_rate_b",0.0239119904127322,0.0217727654230976,0.025465579817933
"ff_matchup_whiff",0.0236222507898797,0.0222116193560517,0.0289165228773725
"ch_matchup_barrel",0.0224917713953765,0.021958779646952,0.0235616112334146
"si_matchup_runs",0.0224402770020948,0.0270789084306334,0.0265960611649908
"chase_rate_b",0.0204377555726123,0.0177657297966361,0.0207651573749033
"barrel_rate_b",0.0202218157915375,0.0173238836777755,0.0221336347950259
"ch_matchup_whiff",0.0200070320484371,0.0146412643381808,0.0214196465758315
"cu_matchup_runs",0.0198945799755778,0.0198409353972102,0.0218956387219611
"ff_spin_advantage",0.0185417782534989,0.016937517672598,0.0193371809365145
"si_matchup_whiff",0.0180651600217391,0.0156831684057085,0.0177902064615934
"hard_hit_rate_b",0.0178905313590871,0.0164241084408068,0.0209436544297019
"cu_matchup_hard_hit",0.0174435360933876,0.0169449981373643,0.0172547152971976
"ch_matchup_hard_hit",0.017112919373387,0.0184766232982566,0.0201106681739751
"ff_velo_advantage",0.0168219223057202,0.014395032372958,0.0167192241328018
"si_velo_advantage",0.0166610555653058,0.0141201252927979,0.0163622300232046
"si_matchup_barrel",0.0166161404477943,0.0177493974485631,0.019158683881716
"sl_matchup_barrel",0.0157157136242694,0.01494447251004,0.0171357172606652
"exit_velo_vs_chase",0.0153571005039198,0.0131499090126136,0.0194561789730469
"cu_matchup_barrel",0.0148132596780157,0.0152855817033816,0.0156482418040102
"fc_matchup_whiff",0.0144805103721728,0.0160374930868038,0.0156482418040102
"si_matchup_hard_hit",0.0142996056402017,0.015612103990429,0.0181472005711906
"sl_matchup_hard_hit",0.0136709603022583,0.0139600433467998,0.015291247694413
"cu_spin_advantage",0.0132016656724733,0.0119800889975828,0.0127327899089665
"sl_matchup_whiff",0.0127565038424385,0.0152678779367681,0.0162432319866722
"sl_velo_advantage",0.0124876317190928,0.0112558553337958,0.0127922889272327
"ff_pct_p",0.0123722276931251,0.0144971407170175,0.0123757957993693
"kc_matchup_runs",0.0120436786585892,0.0144114893954438,0.00827036353900161
"ch_pct_p",0.011618381414415,0.0131207352000251,0.0125542928541679
"cu_matchup_whiff",0.0106126050530947,0.00960217392280061,0.0123757957993693
"cu_velo_advantage",0.0103959067488577,0.0111749416399074,0.0124947938359017
"st_matchup_runs",0.0099426070199241,0.0167905265399409,0.0102933301600524
"fc_matchup_barrel",0.00985782988773142,0.0114358851858372,0.0118998036532397
"fc_matchup_hard_hit",0.0096243061606246,0.00803252306601311,0.0111263164157791
"sl_pct_p",0.00922999377637006,0.00980314907618754,0.00916284881299459
"sl_spin_advantage",0.00827256616815901,0.00684375254024116,0.0106503242696496
"st_matchup_hard_hit",0.00707954917551316,0.0098752108867692,0.00583090379008746
"si_pct_p",0.00704431942527685,0.00517062192085369,0.00803236746593681
"fs_matchup_runs",0.0070271385714333,0.0123750575372415,0.00547390968049027
"kc_matchup_hard_hit",0.00644737640064511,0.00935145367871803,0.00541441066222407
"cu_pct_p",0.00628796535541692,0.00424803126634793,0.00785387041113822
"st_matchup_barrel",0.00611265878804042,0.00752659429898819,0.00499791753436068
"kc_matchup_whiff",0.00574292995693933,0.0113125821916066,0.00577140477182126
"fc_pct_p",0.00480543842641086,0.00607338934372885,0.00606889986315226
"fs_matchup_whiff",0.00467071994668896,0.0116063151080952,0.0042244302969001
"kc_pct_p",0.00448540756642333,0.00633595365702468,0.00339144404117332
"fs_matchup_barrel",0.00388877459320447,0.0051244923881284,0.00273695484024514
"st_matchup_whiff",0.00369897014345007,0.00579337061264508,0.00368893913250431
"fs_matchup_hard_hit",0.00339250599753341,0.00435699670310983,0.00404593324210151
"kc_matchup_barrel",0.00331187564453977,0.00704485236804086,0.00356994109597192
"st_pct_p",0.00195554217574556,0.00153524071886269,0.00267745582197894
"fs_pct_p",0.00180825482525701,0.00227904826545477,0.00202296662105075
"same_hand",0.00076497815117668,0.000272662940730283,0.00130897840185637
