"max_depth","eta","min_child_weight","subsample","colsample_bytree","correlation"
5,0.05,3,0.9,0.9,0.318741669233675
5,0.05,5,0.8,0.8,0.318638851492881
6,0.03,5,0.7,0.8,0.318560816195274
5,0.05,1,0.9,0.8,0.318497895924921
5,0.05,1,0.8,0.7,0.318048356052487
5,0.05,5,0.7,0.9,0.317405781349545
5,0.05,5,0.8,0.9,0.317159773507083
5,0.05,5,0.7,0.8,0.317140357845363
5,0.05,3,0.9,0.8,0.317110036788949
5,0.05,5,0.7,0.7,0.317099612617973
5,0.05,3,0.8,0.8,0.317072936967729
5,0.05,5,0.9,0.9,0.316980444947014
5,0.05,3,0.7,0.9,0.316978788344438
5,0.05,5,0.9,0.7,0.316658735603519
5,0.05,3,0.7,0.7,0.316223248446746
5,0.05,3,0.8,0.7,0.316149326125047
5,0.05,3,0.9,0.7,0.31601217139255
5,0.05,5,0.8,0.7,0.315999338018736
5,0.05,5,0.9,0.8,0.315380562730184
5,0.05,1,0.7,0.7,0.314429936861492
4,0.1,3,0.9,0.8,0.313771642850984
4,0.1,1,0.8,0.9,0.313725057610975
4,0.1,1,0.8,0.8,0.313280509391034
4,0.1,3,0.9,0.9,0.312644330072447
4,0.1,1,0.8,0.7,0.312537024107962
4,0.1,3,0.9,0.7,0.312198775395879
4,0.1,1,0.7,0.9,0.31203820646685
4,0.1,1,0.9,0.7,0.31156843504615
4,0.1,3,0.8,0.9,0.311336712465527
4,0.1,1,0.9,0.9,0.311129286184354
4,0.1,5,0.8,0.9,0.310906372512193
4,0.1,1,0.9,0.8,0.310806806915663
4,0.1,1,0.7,0.7,0.310681057361859
4,0.1,5,0.7,0.9,0.310474350116112
4,0.1,5,0.9,0.9,0.310457711561344
4,0.1,5,0.8,0.8,0.310353749942167
4,0.1,3,0.8,0.7,0.310341923178755
4,0.1,5,0.9,0.8,0.310246667831897
4,0.1,3,0.7,0.8,0.310077709966102
4,0.1,3,0.8,0.8,0.309672288418772
4,0.1,5,0.9,0.7,0.308998567209212
4,0.1,1,0.7,0.8,0.308961670439265
4,0.1,3,0.7,0.7,0.308911382777894
4,0.1,3,0.7,0.9,0.3080827853541
4,0.1,5,0.7,0.7,0.307143332272266
4,0.1,5,0.7,0.8,0.306650153889213
4,0.1,5,0.8,0.7,0.306540579090019
5,0.03,1,0.7,0.8,0.305641454672063
5,0.03,1,0.8,0.9,0.304868775311328
5,0.03,1,0.8,0.8,0.304422370219685
5,0.03,1,0.8,0.7,0.304301464470732
5,0.03,1,0.7,0.9,0.304196104690335
5,0.03,1,0.7,0.7,0.303904506043922
5,0.03,1,0.9,0.9,0.303885416853771
5,0.03,3,0.7,0.8,0.303676162686966
5,0.03,3,0.8,0.7,0.303231727721186
5,0.03,3,0.8,0.9,0.303174774844019
5,0.03,1,0.9,0.7,0.303134959370769
5,0.03,3,0.7,0.9,0.303030443276862
5,0.03,5,0.9,0.7,0.302877562409533
5,0.03,5,0.7,0.9,0.302636747758221
5,0.03,5,0.8,0.8,0.302634027704669
5,0.03,3,0.9,0.9,0.302626737523966
5,0.03,5,0.8,0.9,0.302424414599143
5,0.03,5,0.8,0.7,0.302266727105458
5,0.03,1,0.9,0.8,0.302255432780172
5,0.03,5,0.7,0.8,0.302083605768773
5,0.03,3,0.7,0.7,0.301999181101611
5,0.03,3,0.9,0.7,0.301870469198278
5,0.03,3,0.8,0.8,0.301826719966815
5,0.03,5,0.9,0.9,0.301804089948757
5,0.03,3,0.9,0.8,0.301761474333565
5,0.03,5,0.9,0.8,0.301668627545185
5,0.03,5,0.7,0.7,0.300430252676884
4,0.05,1,0.7,0.9,0.299717325320403
4,0.05,1,0.8,0.8,0.299522240556088
4,0.05,1,0.8,0.9,0.299179960290888
4,0.05,3,0.8,0.9,0.29897211636119
4,0.05,1,0.8,0.7,0.29824119651232
4,0.05,5,0.9,0.7,0.298121583968073
4,0.05,1,0.7,0.8,0.298061170256388
4,0.05,3,0.7,0.7,0.2979024219982
4,0.05,3,0.7,0.8,0.297858477233964
4,0.05,1,0.9,0.7,0.297794244931433
4,0.05,5,0.8,0.8,0.297596291440384
4,0.05,1,0.7,0.7,0.297444434669163
4,0.05,1,0.9,0.8,0.297434695907288
4,0.05,3,0.9,0.7,0.297327099253153
4,0.05,3,0.7,0.9,0.297320139487404
4,0.05,1,0.9,0.9,0.297157146776513
4,0.05,5,0.7,0.7,0.297138851495868
4,0.05,5,0.8,0.9,0.29707337698761
4,0.05,5,0.8,0.7,0.296851752715397
4,0.05,3,0.9,0.9,0.296701799452139
4,0.05,3,0.8,0.7,0.296652228969669
4,0.05,5,0.7,0.8,0.296390392472842
4,0.05,5,0.9,0.9,0.296345575507803
4,0.05,3,0.9,0.8,0.296122074133943
4,0.05,5,0.7,0.9,0.296101286560416
