id,name
596103,Austin Slater
608723,Austin Voth
681810,Austin Warren
669224,Austin Wells
642851,Austin Wynns
801938,Avery Owusu-Asiedu
541645,Avisaíl García
800208,Axiel Plaz
663559,Bailey Falter
690544,Bailey Horn
641927,Bailey Ober
806314,Beau Brewer
689225,Beau Brieske
663366,Beau Burrows
676641,Beau Sulser
607333,Beau Taylor
641386,Ben Bowden
664069,Ben Braymer
676962,Ben Brown
804992,Ben Brutti
676508,Ben Casparius
641512,Ben DeLuzio
805998,Ben Ethridge
592325,Ben Gamel
621294,Ben Heller
690829,Ben Joyce
594902,Ben Lively
809091,Ben Newton
700250,Ben Rice
666163,Ben Rortvedt
594985,Ben Rowen
810938,Ben Williamson
684485,Benjamin Arias
801720,Bennett Flynn
656986,Bennett Sousa
641576,Bernardo Flores
695257,Billy Cook
571740,Billy Hamilton
641856,Billy McKinney
694918,Blade Tidwell
688760,Blaine Crim
543278,Blaine Hardy
663971,Blair Calvo
668874,Blair Henley
664977,Blake Cederlind
694362,Blake Dunn
700183,Blake Holub
453284,Blake Parker
663368,Blake Perkins
666164,Blake Rutherford
666165,Blake Sabol
605483,Blake Snell
642130,Blake Taylor
595014,Blake Treinen
686796,Blake Walston
680604,Blas Castano
677942,Blaze Alexander
676632,Bligh Madris
666182,Bo Bichette
666310,Bo Naylor
676044,Bob Seymour
656252,Bobby Bradley
666915,Bobby Dalbec
676272,Bobby Miller
592833,Bobby Wahl
677951,Bobby Witt
805951,Boston Baro
670102,Bowden Francis
502202,Brad Boxberger
542960,Brad Brach
543272,Brad Hand
641745,Brad Keller
695418,Brad Lord
543543,Brad Miller
502748,Brad Peacock
623364,Brad Wieck
623323,Braden Bishop
668754,Braden Bristo
801078,Braden Davis
669699,Braden Shewmake
699134,Bradgley Rodriguez
687134,Bradley Blalock
605548,Bradley Zimmer
669620,Brady Basso
621399,Brady Feigl
691781,Brady House
802374,Brady Kirtner
621078,Brady Lail
686251,Brady Lindsly
663903,Brady Singer
805634,Braeden Fausnaught
666622,Brailyn Márquez
684049,Brandan Bidois
571858,Branden Kline
669064,Brandon Bailey
702255,Brandon Barriera
474832,Brandon Belt
656232,Brandon Bielak
592165,Brandon Brennan
543063,Brandon Crawford
804698,Brandon Decker
505447,Brandon Dickson
641525,Brandon Dixon
592273,Brandon Drury
685126,Brandon Eisert
676714,Brandon Hughes
445213,Brandon Kintzler
605335,Brandon Leibrandt
663604,Brandon Lockridge
664040,Brandon Lowe
669016,Brandon Marsh
607043,Brandon Nimmo
694297,Brandon Pfaadt
687075,Brandon Sproat
678218,Brandon Valenzuela
663399,Brandon Waddell
687888,Brandon Walter
681449,Brandon White
682227,Brandon Williamson
605540,Brandon Woodruff
519443,Brandon Workman
687064,Brandon Young
825576,Brandt Thompson
805299,Brandyn Garcia
670087,Brandyn Sittinger
676428,Brant Hurter
677952,Braxton Ashcraft
690924,Braxton Fulford
666129,Braxton Garrett
678394,Brayan Bello
677587,Brayan Rocchio
680755,Braydon Fisher
691770,Braylon Bishop
682697,Breidy Encarnacion
669724,Brenan Hanifee
680977,Brendan Donovan
694858,Brendan Girton
663898,Brendan Rodgers
686839,Brendan White
663478,Brendon Davis
663893,Brendon Little
657514,Brennan Bernardino
683005,Brennan Malone
680695,Brennen Davis
680986,Brennen Oxford
691601,Brenny Escanio
828671,Brent Francisco
687396,Brent Headrick
641703,Brent Honeywell
667670,Brent Rooker
608718,Brent Suter
686668,Brenton Doyle
474463,Brett Anderson
682266,Brett Auerbach
686941,Brett Barrera
683146,Brett Baty
518649,Brett Eibner
458731,Brett Gardner
695391,Brett Harris
664028,Brett Kennedy
656685,Brett Martin
621433,Brett Phillips
689355,Brett Roberts
664954,Brett Sullivan
689172,Brett Wisely
676969,Brett de Geus
676551,Brewer Hicklen
591971,Breyvic Valera
605119,Brian Anderson
572821,Brian Dozier
813360,Brian Edgington
571718,Brian Goodwin
675649,Brian Miller
572383,Brian Moran
640459,Brian Navarreto
657434,Brian O'Grady
657247,Brian O'Keefe
661531,Brian Serven
687003,Brian Van Belle
694728,Brice Matthews
668930,Brice Turang
656271,Brock Burke
571788,Brock Holt
592779,Brock Stewart
802544,Brock Vradenburg
689297,Brody Jessee
621259,Brody Koerner
681460,Brooks Baldwin
621139,Brooks Kriske
686797,Brooks Lee
548384,Brooks Raley
669145,Bruce Zimmermann
660813,Brusdar Graterol
650556,Bryan Abreu
641329,Bryan Baker
650559,Bryan De La Cruz
650530,Bryan Garcia
663773,Bryan Hoeing
592407,Bryan Holaday
663542,Bryan Hudson
687911,Bryan King
681526,Bryan Lavastida
